bank,callsite_cpu,patch_lo_prg_off,patch_hi_prg_off,pointer_cpu,length,japanese,bytes
04,$8ED6,$10ED7,$10EDB,$9E18,5,ダブル立直,78 79 7a 26 47
04,$8F30,$10F31,$10F35,$9E1E,2,立直,26 47
04,$8F69,$10F6A,$10F6E,$9E21,4,立直一発,26 47 01 60
04,$8FA2,$10FA3,$10FA7,$9E26,5,門前清摸和,34 35 31 3c 28
04,$8FDB,$10FDC,$10FE0,$9E2C,3,断么九,48 36 09
04,$9014,$11015,$11019,$9E30,2,平和,27 28
04,$904D,$1104E,$11052,$9E33,3,一盃口,01 49 1d
04,$9086,$11087,$1108B,$9E37,4,海底撈月,2d 4b 2e 30
04,$90BF,$110C0,$110C4,$9E3C,4,河底撈魚,2f 4b 2e 4c
04,$90F8,$110F9,$110FD,$9E41,4,嶺上開花,4a 1c 2b 2c
04,$9131,$11132,$11136,$9E46,2,搶槓,29 2a
04,$916A,$1116B,$1116F,$9E49,1,白,6f
04,$91A3,$111A4,$111A8,$9E4B,1,發,70
04,$91DC,$111DD,$111E1,$9E4D,1,中,71
04,$9215,$11216,$1121A,$9E4F,2,場風,75 5a
04,$924E,$1124F,$11253,$9E52,2,自風,5f 5a
04,$9287,$11288,$1128C,$9E55,3,全帯么,6d 4d 36
04,$92C0,$112C1,$112C5,$9E59,5,全帯么門前,6d 4d 36 34 35
04,$92F9,$112FA,$112FE,$9E5F,4,三色同順,03 4e 37 6e
04,$9332,$11333,$11337,$9E64,6,三色同順門前,03 4e 37 6e 34 35
04,$936B,$1136C,$11370,$9E6B,4,一色三順,01 4e 03 6e
04,$93A4,$113A5,$113A9,$9E70,6,一色三順門前,01 4e 03 6e 34 35
04,$93DD,$113DE,$113E2,$9E77,4,一気通貫,01 44 45 46
04,$9416,$11417,$1141B,$9E7C,6,一気通貫門前,01 44 45 46 34 35
04,$944F,$11450,$11454,$9E83,3,二盃口,02 49 1d
04,$9488,$11489,$1148D,$9E87,4,三色同刻,03 4e 37 22
04,$94C1,$114C2,$114C6,$9E8C,3,三暗刻,03 21 22
04,$94FA,$114FB,$114FF,$9E90,3,三槓子,03 2a 1a
04,$9533,$11534,$11538,$9E94,3,小三元,39 03 25
04,$956C,$1156D,$11571,$9E98,3,対々和,1f 20 28
04,$95A5,$115A6,$115AA,$9E9C,3,七対子,07 1f 1a
04,$95DE,$115DF,$115E3,$9EA0,3,混一色,32 01 4e
04,$9617,$11618,$1161C,$9EA4,5,混一色門前,32 01 4e 34 35
04,$9650,$11651,$11655,$9EAA,4,純全帯么,33 6d 4d 36
04,$9689,$1168A,$1168E,$9EAF,6,純全帯么門前,33 6d 4d 36 34 35
04,$96C2,$116C3,$116C7,$9EB6,3,混老頭,32 23 24
04,$96FB,$116FC,$11700,$9EBA,3,清一色,31 01 4e
04,$9734,$11735,$11739,$9EBE,5,清一色門前,31 01 4e 34 35
04,$976D,$1176E,$11772,$9EC4,4,十三不塔,0a 03 42 62
04,$97A6,$117A7,$117AB,$9EC9,2,人和,3f 28
04,$97DF,$117E0,$117E4,$9ECC,3,字一色,6a 01 4e
04,$9818,$11819,$1181D,$9ED0,3,四暗刻,04 21 22
04,$9851,$11852,$11856,$9ED4,3,四暗刻,04 21 22
04,$988A,$1188B,$1188F,$9ED8,3,小四喜,39 04 69
04,$98C3,$118C4,$118C8,$9EDC,3,大四喜,38 04 69
04,$98FC,$118FD,$11901,$9EE0,4,九蓮宝燈,09 63 64 65
04,$9935,$11936,$1193A,$9EE5,6,□□九蓮宝燈,66 67 09 63 64 65
04,$996E,$1196F,$11973,$9EEC,4,国士無双,15 16 17 18
04,$99A7,$119A8,$119AC,$9EF1,7,国士無双十三面,15 16 17 18 0a 03 54
04,$99E0,$119E1,$119E5,$9EF9,2,天和,43 28
04,$9A19,$11A1A,$11A1E,$9EFC,2,地和,68 28
04,$9A52,$11A53,$11A57,$9EFF,3,緑一色,19 01 4e
04,$9A8B,$11A8C,$11A90,$9F03,3,大三元,38 03 25
04,$9AC4,$11AC5,$11AC9,$9F07,3,清老頭,31 23 24
04,$9AFD,$11AFE,$11B02,$9F0B,3,四槓子,04 2a 1a
04,$9B36,$11B37,$11B3B,$9F0F,4,么九振切,36 09 40 41
04,$9B61,$11B62,$11B66,$9F75,4,九種倒牌,09 7b 7c 53
04,$9D8F,$11D90,$11D94,$9F65,2,役満,5c 3b
04,$9DA0,$11DA1,$11DA5,$9F68,3,三倍満,03 5d 3b
04,$9DB1,$11DB2,$11DB6,$9F6C,2,倍満,5d 3b
04,$9DC2,$11DC3,$11DC7,$9F6F,2,跳満,6b 3b
04,$9DD3,$11DD4,$11DD8,$9F72,2,満貫,3b 46
